chembl_id,primary_drug,tox_herg_ic50_uM,tox_herg_risk,tox_cyp3a4_inhib,tox_cyp2d6_inhib,tox_cyp1a2_inhib,tox_cyp_risk,tox_ames,tox_ames_risk,tox_dili_risk,tox_bbb_perm,black_box_warning,hepatotoxicity,nephrotoxicity,cardiotoxicity,bioactivity_count,tox_data_sources,data_source,created_at,last_updated
CHEMBL284395,ChEMBL_CHEMBL284395,,low,,,,low,,low,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.983770,2025-09-05 06:28:14.983771
CHEMBL31891,BRODIMOPRIM,,medium,,,,medium,,medium,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.983799,2025-09-05 06:28:14.983799
CHEMBL32039,TETROXOPRIM,,low,,,,low,,medium,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.983825,2025-09-05 06:28:14.983826
CHEMBL31402,ChEMBL_CHEMBL31402,,low,,,,low,,medium,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.983851,2025-09-05 06:28:14.983852
CHEMBL31667,ChEMBL_CHEMBL31667,,low,,,,low,,medium,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.983877,2025-09-05 06:28:14.983877
CHEMBL31721,ChEMBL_CHEMBL31721,,medium,,,,medium,,medium,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.983910,2025-09-05 06:28:14.983910
CHEMBL284230,ChEMBL_CHEMBL284230,,high,,,,high,,medium,high,,False,True,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.983940,2025-09-05 06:28:14.983941
CHEMBL31801,ChEMBL_CHEMBL31801,,high,,,,high,,medium,high,,False,True,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.983970,2025-09-05 06:28:14.983971
CHEMBL32512,ChEMBL_CHEMBL32512,,medium,,,,medium,,medium,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.983996,2025-09-05 06:28:14.983996
CHEMBL31593,ChEMBL_CHEMBL31593,,low,,,,low,,low,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.984022,2025-09-05 06:28:14.984022
CHEMBL417133,ChEMBL_CHEMBL417133,,high,,,,medium,,medium,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.984048,2025-09-05 06:28:14.984048
CHEMBL30937,ChEMBL_CHEMBL30937,,high,,,,medium,,medium,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.984080,2025-09-05 06:28:14.984081
CHEMBL283279,ChEMBL_CHEMBL283279,,low,,,,low,,medium,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.984109,2025-09-05 06:28:14.984109
CHEMBL282768,ChEMBL_CHEMBL282768,,unknown,,,,unknown,,unknown,unknown,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.984136,2025-09-05 06:28:14.984137
CHEMBL31382,ChEMBL_CHEMBL31382,,low,,,,low,,medium,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.984163,2025-09-05 06:28:14.984163
CHEMBL31221,ChEMBL_CHEMBL31221,,medium,,,,medium,,low,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.984188,2025-09-05 06:28:14.984188
CHEMBL31265,ChEMBL_CHEMBL31265,,low,,,,low,,low,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.984216,2025-09-05 06:28:14.984216
CHEMBL32573,TRAMAZOLINE,,low,,,,low,,low,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.984247,2025-09-05 06:28:14.984247
CHEMBL413256,ChEMBL_CHEMBL413256,,high,,,,medium,,medium,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.984274,2025-09-05 06:28:14.984274
CHEMBL31997,ChEMBL_CHEMBL31997,,high,,,,medium,,medium,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.984300,2025-09-05 06:28:14.984300
CHEMBL31888,ChEMBL_CHEMBL31888,,low,,,,low,,medium,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.984326,2025-09-05 06:28:14.984326
CHEMBL31428,ChEMBL_CHEMBL31428,,high,,,,high,,high,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.984352,2025-09-05 06:28:14.984352
CHEMBL32510,CLOFILIUM PHOSPHATE,,high,,,,high,,low,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.984377,2025-09-05 06:28:14.984378
CHEMBL287141,ChEMBL_CHEMBL287141,,medium,,,,medium,,medium,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.984404,2025-09-05 06:28:14.984404
CHEMBL31516,ChEMBL_CHEMBL31516,,low,,,,low,,low,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.984430,2025-09-05 06:28:14.984430
CHEMBL31487,ChEMBL_CHEMBL31487,,medium,,,,medium,,medium,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.984455,2025-09-05 06:28:14.984455
CHEMBL31547,ChEMBL_CHEMBL31547,,high,,,,medium,,medium,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.984486,2025-09-05 06:28:14.984486
CHEMBL31946,ChEMBL_CHEMBL31946,,medium,,,,medium,,medium,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.984514,2025-09-05 06:28:14.984514
